"stt","mamh","tenmh","tenmh_en","sotc","lt","th","loaimonhoc","semester","is_open","management_unit","description","mamh_old","equivalent_mh","prerequisite_mh","previous_mh"
"79","ADENG1","Tiếng Anh tăng cường 1","Intensive English 1","0","0","0","ĐC","","True","HTTT","","","ENG04","",""
"80","ADENG2","Tiếng Anh tăng cường 2","Intensive English 2","0","0","0","ĐC","","True","HTTT","","","","",""
"81","ADENG3","Tiếng Anh tăng cường 3","Intensive English 3","0","0","0","ĐC","","True","HTTT","","","ENG05","ADENG2",""
"82","ADENG4","Tiếng Anh tăng cường 4","Intensive English 4","0","0","0","ĐC","","True","HTTT","","","ENG03","ADENG3",""
"83","AI001","Giới thiệu ngành Trí tuệ nhân tạo","Introduction to Artificial Intelligence","1","1","0","ĐC","","True","KHMT","","","CS005
IE005
IS005
SE005
CE005
NT005
NT015
EC005
DS005","",""
"84","AI002","Tư duy Trí tuệ nhân tạo","Artificial Intelligence Thinking","4","3","1","CSN","","True","KHMT","","","","",""
"85","AI301","Khởi nghiệp và sáng tạo","Entrepreneurship and Innovation","2","2","0","CN","","True","KHMT","","","","",""
"86","AI302","Kỹ thuật viết báo cáo và trình bày","Technical Report Writing and Presentation Skills","2","2","0","CN","","True","KHMT","","","","",""
"87","AI503","Đồ án tốt nghiệp","Capstone Project","6","6","0","TN","","True","KHMT","","","","",""
"88","AI504","Đồ án tốt nghiệp tại doanh nghiệp","Industry Capstone Project","10","10","0","TN","","True","KHMT","","","","",""
"89","AI505","Khoá luận tốt nghiệp","Thesis","10","10","0","KLTN","","True","KHMT","","","","",""
"90","BCH058","Kỹ năng truyền thông giao tiếp","Communications Techniques","2","1","1","CN","","True","PĐTĐH","","","","",""
"91","BOQC1","Nhập môn máy tính lượng tử","Basics of Quantum Computing","0","0","0","BT","","True","BMTL","","","","",""
"92","BUS1125","Khởi nghiệp kinh doanh","Entrepreneurship","3","2","1","CN","","True","PĐTĐH","","","","",""
"93","CARC1","Kiến trúc máy tính","Computer Architecture","3","3","0","ĐC","","True","KTMT","","","IT006","",""
"146","CE314","Trình biên dịch","Principles of compiler design","3","3","0","CN","","True","KTMT","","","","","CE103
MA004"
"167","CE338","Hệ thống thời gian thực","Real-Time Systems","4","3","1","CNTC","","True","KTMT","Cung cấp những kiến thức cơ bản về hệ thống số bao gồm:
\- Giới thiệu hệ thống thời gian thực
\- Định thời trong hệ thời gian thực
\- Thiết kế hệ thời gian thực","","","","IT006
IT007"
"240","CNBU205","Dự án cá nhân","Individual Honours Project","65","40","25","CN","","True","MMT","","","CSBU205","",""
"94","CE005","Giới thiệu ngành Kỹ Thuật Máy tính","Introduction to Computer Engineering","1","1","0","ĐC","","True","KTMT","Hiều biết rõ về ngành học và định hướng nghề nghiệp là một trong những yếu tố quan trọng giúp sinh viên củng cố đam mê và xây dựng kết hoạch học tập phù hợp. Môn học được thiết kế để cung cấp cho sinh viên cái nhìn tổng quan về ngành Kỹ Thuật Máy Tính trong bối cảnh của sự phát triển mạnh mẽ của ngành Công nghệ thông tin và Truyền thông nói chung, sự bùng nổ của công nghệ IoT nói riêng. Môn học mang đến những thông tin cập nhật, giới thiệu đầy đủ những nhóm ngành, yêu cầu và tương lai phát triển; đồng thời giúp sinh viên nắm bắt được cơ hội, gắn bó với ngành học và xây dựng được kế hoạch học tập đúng đắn.","","CS005
IE005
IS005
SE005
NT005
NT015
EC005
DS005
AI001","",""
"95","CE006","Giới thiệu ngành Thiết kế vi mạch","Introduction to Integrated Circuit Design","1","1","0","ĐC","","True","KTMT","","","","",""
"96","CE101","Lý thuyết mạch điện","Theory of electrical circuits","4","4","0","CSN","","True","KTMT","","","CE121","",""
"97","CE102","Hệ thống số","Digital systems","4","3","1","CN","","True","KTMT","","","PH002","",""
"98","CE103","Vi xử lý-vi điều khiển","Microprocessors and Microcontrollers","4","3","1","CSN","","True","KTMT","▪ Môn học sẽ cung cấp các kiến thức về khái niệm, kiến trúc và nguyên lý hoạt động của một bộ vi xử lý, kiến thức về bộ vi xử lý x86 và các phương thức điều khiển dữ liệu ra vào bộ vi xử lý. Đồng thời giới thiệu về các bộ vi xử lý hiện đại.
▪ Môn học cũng cung cấp các kiến thức một bộ vi điều khiển trong đó bộ vi điều khiển X51 sẽ được nghiên cứu sâu về giao tiếp với thiết bị và lập trình","","","","IT006"
"99","CE104","Các thiết bị và mạch điện tử","Electronic devices and circuits","3","3","0","CSN","","True","KTMT","","","","","PH001
CE101"
"100","CE105","Xử lý tín hiệu số","Digital Signal Processing","4","3","1","CSN","","True","KTMT","Môn học Xử lý tín hiệu số nhằm cung cấp các khái niệm và kỹ thuật xử lý tín hiệu hiện đại, nền tảng hệ thống từ quân sự chuyên môn hóa cao đến các ứng dụng công nghiệp điện tử tiêu dùng. Môn học sẽ hướng dẫn sinh viên tìm hiểu chi tiết về:
\- Tín hiệu và hệ thống rời rạc theo thời gian, biểu diễn hệ thống bằng phương trình vi phân, và phân tích hệ thống sử dụng biến đổi Fourier và biến đổi Z.
\- Lý thuyết lấy mẫu tín hiệu liên tục theo thời gian, phân tích các hệ thống tuyến tính bất biến theo thời gian.
\- Biến đổi Fourier rời rạc (DFT) và thuật toán FFT để tính nhanh DFT sẽ được tìm hiểu cùng với các phương pháp phân tích phổ tín hiệu rời rạc theo thời gian.
\- Các phương pháp chính để thiết kế các bộ lọc FIR và IIR.","","CE205","","MA001
MA002
MA003"
"101","CE106","Thiết kế vi mạch với HDL","Digital Circuit Design with HDL","4","3","1","CN","","True","KTMT","","","CE221","",""
"102","CE107","Hệ thống nhúng","Embedded systems","4","3","1","CSN","","True","KTMT","","","CE224","","IT001
IT006
CE103"
"103","CE108","Hệ điều hành nâng cao","Advanced operating systems","3","3","0","CN","","True","KTMT","","","","",""
"104","CE109","Lập trình nhúng căn bản","Introduction to embedded-system programming","3","2","1","CN","","True","KTMT","","","CE211","",""
"105","CE110","Lập trình hệ thống với Java","System Programming with Java","4","3","1","CN","","True","KTMT","","","CE315","",""
"106","CE111","Kiến trúc máy tính nâng cao","Advanced computer architecture","3","2","1","CĐTN","","True","KTMT","","","","","IT006"
"107","CE112","Đồ án môn học thiết kế mạch","Circuit design project","2","0","2","ĐA","","True","KTMT","","","CE201","",""
"108","CE113","Điều khiển tự động","Automatic Control","3","3","0","CN","","True","KTMT","","","CE212","",""
"109","CE114","Lập trình trên thiết bị di động","Mobile device application development","3","2","1","CN","","True","KTMT","","","NT118","",""
"110","CE115","Thiết kế mạng","Network design","4","3","1","CN","","True","KTMT","","","NT113","",""
"111","CE116","Đồ án môn học ngành KTMT","Information engineering project","2","0","2","ĐA","","True","KTMT","","","CE206","",""
"112","CE117","Thực hành điện- điện tử","Basic electrical and electronic laboratory","1","0","1","CSN","","True","KTMT","","","","","PH001
CE101"
"113","CE118","Thiết kế luận lý số","Digital Logic Design","4","3","1","CSN","","True","KTMT","Môn học này trình bày các kiến thức tiếp theo của môn Nhập môn mạch số, bao gồm các nội dung đi sâu hơn và chưa học trong môn học trước. Các nội dung chính bao gồm 4 chương sau:
\- Chương I: Mạch tuần tự
\- Chương II: Các thành phần lưu trữ
\- Chương III: Register transfer design
\- Chương IV: Processor design","","","","PH002"
"114","CE119","Thực hành kiến trúc máy tính","Computer Architecture Laboratory","1","0","1","CSN","","True","KTMT","Môn học này cung cấp các bài tập thực hành cho môn Kiến trúc Máy tính bao gồm
▪ Xây dựng một hệ thống máy tính trên FPGA dựa vào lõi xử lý mềm Nios II, Kit DE2 và phần mềm Quartus được hỗ trợ bởi Altera.
▪ Dựa trên hệ thống máy tính xây dựng được, các vấn đề cơ bản về kiến trúc máy tính như: lập trình ngôn ngữ assembly, kỹ thuật xuất nhập, cấu trúc bus,... được đưa vào thực hành","","","","PH002"
"115","CE121","Lý thuyết mạch điện","Theory of Electrical Circuits","4","3","1","CSN","","True","KTMT","▪ Môn học này trình bày các khái niệm cơ bản về mạch điện; các loại mạch điện và phép biến đổi tương đương; mối tương quan giữa dòng áp trên các phần tử mạch điện;
▪ Môn học cũng giới thiệu phương pháp phân tích và giải mạch ở miền tần số, miền thời gian.
▪ Cụ thể sẽ gồm các nội dung sau:
o Các khái niệm cơ bản về mạch điện
o Phân tích mạch ở chế độ xác lập điều hòa
o Các phương pháp phân tích mạch
o Phân tích mạch miền thời gian
o Phân tích mạch miền tần số
o Thực hành phân tích một số mạch điện cơ bản","","CE101
CE122
CE125","",""
"116","CE122","Phân tích mạch kỹ thuật","Engineering Circuit Analysis","4","3","1","CN","","True","KTMT","","","CE125","",""
"147","CE315","Lập trình hệ thống với Java","System Programming with Java","3","2","1","CN","","True","KTMT","Môn học này trình bày các khái niệm cơ bản ngôn ngữ Java như các kiểu dữ liệu, các cấu trúc lặp điều khiển, các khái niệm về hướng đối tượng như đối tượng, thể hiện, lớp, thừa kế, giao diện, đa hình. Các khái niệm về lập trình giao diện như applet, swing GUI. Các khái niệm về lập trình hệ thống như mô hình client-server, socket, TCP, UDP.","","","",""
"148","CE316","Logic mờ và ứng dụng","Fuzzy logic and applications","3","3","0","CN","","True","KTMT","","","CS405","","MA004"
"117","CE124","Các thiết bị và mạch điện tử","Electronic Devices and Circuits","4","3","1","CSN","","True","KTMT","▪ Môn học này trình bày các khái niệm cơ bản về mạch điện tử; các loại mạch khuếch đại, mạch lọc, mạch so sánh, mạch tạo dao động và các phép biến đổi tương đương mạch;
▪ Môn học cũng giới thiệu các đặc tuyến của từng loại linh kiện, các ảnh hưởng của từng phân tử trong chế độ DC, AC.
▪ Về thực hành, môn học này:
o Giới thiệu cách lắp ghép các linh kiện điện tử với nhau để tạo thành các mạch điện tử cơ bản và mạch điện tử ứng dụng.
o Thực hành thiết kế và mô phỏng mạch điện tử
o Thực hành thiết kế PCB và làm mạch in
o Tìm hiểu các công cụ hỗ trợ về điện – điện tử như VOM, DMM, Oscilloscope","","CE104","","CE121"
"118","CE125","Kỹ thuật phân tích mạch","Introduction to Circuit Analysis","4","3","1","CN","","True","KTMT","","","","",""
"119","CE126","Vật lý bán dẫn và ứng dụng","Semiconductor Physics and Applications","4","3","1","CN","","True","KTMT","","","","",""
"120","CE201","Đồ án 1","Project 1","2","0","2","ĐA","","True","KTMT","Cung cấp các kỹ năng thiết kế các mạch điện-điện tử hay vi mạch cơ bản cho sinh viên cũng như các kỹ năng phát triển các phần mềm nhúng, phần mềm phát triển vi mạch trên các mạch mà sinh viên thiết kế","","","","PH002
CE103
CE121"
"121","CE202","An toàn mạng máy tính","Network security","3","3","0","CN","","True","KTMT","","","NT101","",""
"122","CE203","Điều khiển tự động nâng cao","Advanced automatic control","3","3","0","CĐTN","","True","KTMT","","","CE317","",""
"123","CE204","Thiết kế và lập trình Web","Web design and programming","3","3","0","CN","","True","KTMT","","","","",""
"124","CE205","Xử lý tín hiệu số","Digital signal processing","4","3","1","CN","","True","KTMT","","","","",""
"125","CE206","Đồ án 2","Project 2","2","0","2","ĐA","","True","KTMT","Cung cấp các kỹ năng thiết kế hệ thống các mạch điện-điện tử hay vi mạch tiếp theo môn đồ án 1 cho sinh viên cũng như các kỹ năng phát triển các phần mềm nhúng, phần mềm phát triển vi mạch trên các mạch mà sinh viên thiết kế","","CE116","","PH002
CE103
CE121"
"126","CE207","Đồ án thiết kế vi mạch 1","Project on Integrated Circuit Design 1","2","0","2","CN","","True","KTMT","","","","","CE226
CE436
CE433"
"127","CE208","Đồ án thiết kế vi mạch 2","Project on Integrated Circuit Design 2","2","0","2","CN","","True","KTMT","","","","","CE207"
"128","CE211","Lập trình nhúng căn bản","Introduction to embedded-system programming","4","3","1","CN","","True","KTMT","","","CE232","","CE107"
"129","CE212","Điều khiển tự động","Automatic Control","4","3","1","CN","","True","KTMT","Môn học giới thiệu đến SV các mô hình vật lý, trang bị các kiến thức về đặc tính động học và hướng dẫn thực hành quá trình phân tích, thiết kế, và xét các tính chất ổn định của hệ thống điều khiển tự động cơ bản theo điều kiện yêu cầu cụ thể cho trước","","","","MA003
MA006"
"130","CE213","Thiết kế hệ thống số với HDL","Digital System Design with HDL","4","3","1","CSN","","True","KTMT","Giới thiệu các khái niệm tổng quan về thiết kế mạch logic, các phương pháp thiết kế vi mạch fron-end, về ngôn ngữ mô tả phần cứng VHDL&Verilog","","","","PH002
CE118"
"131","CE219","Tương tác người - máy","Human-computer interaction","3","3","0","CN","","True","KTMT","","","CE405","",""
"132","CE221","Thiết kế vi mạch với HDL","Digital circuit design with HDL","4","3","1","CN","","True","KTMT","","","CE213","","PH002
CE118"
"133","CE222","Thiết kế vi mạch số","Digital Integrated Circuit Design","4","3","1","CN","","True","KTMT","Nội dung môn học này cung cấp cho sinh viên những kiến thức cơ bản về thiết kế vi mạch. Cung cấp kiến thức chuyên sâu về công nghệ CMOS, công nghệ chủ đạo trong thiết kế vi mạch ngày nay. Bên cạnh đó, phương pháp phân tích chức năng, định thời, mô hình hóa và tối ưu hóa thiết kế cũng sẽ được trang bị cho sinh viên","","CE302","","CE118"
"134","CE224","Thiết kế hệ thống nhúng","Embedded Systems Design","4","3","1","CN","","True","KTMT","▪ Giới thiệu các khái niệm chung về hệ thống nhúng, bộ nhớ và ngoại vi.
▪ Giới thiệu các phương pháp tích hợp phát triển phần mềm (chủ yếu) và phần cứng (phần nhỏ) cho các hệ thống nhúng được xây dựng trên một họ vi điều khiển và họ vi xử lý.
▪ Cung cấp kiến thức phân tích và thiết kế một hệ thống nhúng đơn giản, cung câp ngôn ngữ lập trình C/C++ cho hệ thống nhúng.
▪ Sinh viên được thực hành và tự thiết kế một hệ thống nhúng ứng dụng đơn giản trong thực tiễn","","","","CE103"
"135","CE226","Thiết kế VLSI","VLSI Design","4","3","1","CN","","True","KTMT","","","","",""
"136","CE232","Thiết kế hệ thống nhúng không dây","Wireless Embedded Systems Design","4","3","1","CN","","True","KTMT","▪ Giới thiệu kiến trúc hệ thống nhúng tích hợp ngoại vi. Trong đó giới thiệu kiến trúc của một end node trong hệ thống Internet of Things.
▪ Mô hình tích hợp phần cứng và phần mềm trên hệ thống nhúng tích hợp ngoại vi: bootloader, kernel, OS, driver…
▪ Giới thiệu các phương pháp thiết kế hệ thống nhúng tích hợp ngoại vi.
▪ Cung cấp kiến thức phân tích và thiết kế một hệ thống nhúng phức tạp có tích hợp bộ nhớ, module ngoại vi và module giao tiếp mạng/module giao tiếp không dây.
▪ Sinh viên biết được thực hành và tự thiết kế một hệ thống nhúng ứng dụng trong một giải pháp Internet of Things","","","","CE224"
"137","CE233","Kỹ thuật Robot","Robot Principles and Design","4","3","1","CN","","True","KTMT","","","","","MA003"
"138","CE301","Hệ thống chứng thực số","Digital identification systems","3","3","0","CN","","True","KTMT","","","","",""
"139","CE302","Thiết kế vi mạch","Circuits design","3","2","1","CN","","True","KTMT","","","CE222","",""
"140","CE303","Robot công nghiệp","Industrial robotics","3","3","0","CN","","True","KTMT","","","","","MA001
MA002
CE101
CE212
CE107"
"141","CE3031","Công nghệ cảm biến","Sensor Technologies","4","3","1","CN","","True","KTMT","","","","","MA006
MA003
CE121"
"142","CE304","Robot công nghiệp","Industrial Robotics","4","3","1","CNTC","","True","KTMT","Môn này giới thiệu cho SV khái niệm thiết kế máy Robot trong các hệ tự động hóa. Sinh viên được trang bị những kiến thức cơ bản về robot công nghiệp; nguyên lý cấu tạo cũng như cấu trúc cơ bản thông thường, phạm vi ứng dụng và sử dụng phổ biến trong thực tế, những yêu cầu cơ bản trong thiết kế và sử dụng robot công nghiệp.","","","","CE121
CE224
MA001
MA002"
"143","CE306","Thị giác máy tính","Computer vision","3","3","0","CN","","True","KTMT","","","","",""
"144","CE312","Hệ thống thời gian thực","Real-time systems","3","3","0","CN","","True","KTMT","","","","","IT006
IT007
CE103
CE211"
"149","CE317","Điều khiển tự động nâng cao","Advanced Automatic Control","3","3","0","CN","","True","KTMT","Nội dung của môn học đề cập đến các phương pháp thiết kế bộ điều khiển cho hệ thống tự động nhằm đảm bảo độ dự trữ , tính ổn định bền vững khi vận hành và chất lượng khi tối ưu hóa thiết kế của hệ thống trong điều kiện ràng buộc của chế độ làm việc được đặt ra.","","","","MA001
MA002
MA003
MA004
CE101
CE104
CE212"
"150","CE318","Trình biên dịch","Compiler","4","3","1","CNTC","","True","KTMT","Môn học Trình biên dịch bao gồm các nghiên cứu về các nguyên lý hoạt động của trình biên dịch, các kỹ thuật được sử dụng để thiết kế một trình biên dịch và các công cụ như Lex, Yacc làm thuận tiện việc cài đặt một trình biên dịch.","","CE314","","IT006
IT007"
"151","CE319","Logic mờ và ứng dụng","Fuzzy Logic and Its Applications","4","3","1","CNTC","","True","KTMT","Môn học này trình bày các khái niệm về tập mờ, logic mờ. Đạo hàm và phương trình vi phân mờ. Bài toán tối ưu hóa mờ. Hệ chuyên gia mờ và hệ trợ giúp quyết định mờ. Phương pháp điều khiển mờ","","","","MA004"
"152","CE320","Logic mờ cho ứng dụng hệ thống nhúng","Fuzzy Logic for Embedded Systems Applications","4","3","1","CN","","True","KTMT","","","","","MA004"
"153","CE321","Kỹ thuật chế tạo vi mạch","Integrated circuit fabrication","3","3","0","CN","","True","KTMT","","","","","CE222"
"154","CE322","Thiết kế vi mạch hỗn hợp","Mixed-signal integrated circuit design","3","2","1","CN","","True","KTMT","","","","","CE222"
"155","CE323","Kỹ thuật thiết kế mạch in","Printed Circuit Board Design","3","2","1","CN","","True","KTMT","Phương pháp thiết kế schematic, netlist.
\- Phương pháp đặt thiết bị và kết nối ( Placing and routing ) cho những mạch điện tử đơn giản.
\- Phương pháp đặt thiết bị và kết nối ( Placing and routing ) cho những mạch điện tử phức tạp.
\- Một số Phương pháp thiết kế mạch in trong thương mại.
\- thiết kế mạch in.
\- Lập kế hoạch cho Một thiết kế.
\- Thực hành thiết kế mạch in cho mạch điên tử cụ thể.","","","","CE101
CE104
CE103"
"156","CE324","Thiết kế vi mạch tương tự","Analog integrated circuit design","3","2","1","CN","","True","KTMT","","","","","CE104
CE221"
"157","CE325","Thiết kế dựa trên vi xử lý","Microprocessor-based system design","3","2","1","CN","","True","KTMT","","","CE335","","IT001
IT006
IT003"
"158","CE326","Tự động hóa thiết kế vi mạch","Circuit-design automation","3","2","1","CN","","True","KTMT","","","","","CE221"
"159","CE327","Tối ưu hóa dựa trên FPGA","FPGA-based optimization","3","3","0","CN","","True","KTMT","","","CE337","","CE118
IT006
CE221"
"160","CE331","Kỹ thuật chế tạo vi mạch","Integrated Circuit Fabrication","4","3","1","CNTC","","True","KTMT","Nội dung môn học này cung cấp cho sinh viên những kiến thức cơ bản về lịch sử phát triển ngành công nghiệp chế tạo vi mạch. Nội dung môn học trang bị kiến thức về qui trình sản xuất Wafer, qui trình chế tạo công nghệ bán dẫn cũng như các phương pháp kiểm tra và đóng gói chip.","","CE321","","CE222"
"161","CE332","Thiết kế vi mạch hỗn hợp","Mixed-Signal Integrated Circuit Design","4","3","1","CNTC","","True","KTMT","Môn học này bao gồm những nội dung sau
▪ Trình bày những kiến thức cơ bản về thiết kế vi mạch hỗn hợp:
o Cấu trúc cơ bản của một hệ thống vi mạch hỗn hợp.
o Các thành phần cơ bản của hệ thống: Opamps, D/A converters, S/H circuit, Analog Switches, Comparator, PLL, ...
▪ Những cách thức/phương pháp để phân tích, thiết kế, mô phỏng và layout các thành phần hoặc các mạch hỗn hợp ở mức CMOS.
▪ Các bài thực hành bám sát nội dung lý thuyết để giúp cho sinh viên hiểu rõ hơn lý thuyết và có cái nhìn thực tế về thiết kế vi mạch hỗn hợp.","","CE322","","CE222"
"162","CE333","Tiếng Anh chuyên ngành Kỹ thuật máy tính","Technical English for Computer Engineering","4","4","0","CN","","True","KTMT","","","","","ENG03
IT007"
"163","CE334","Thiết kế vi mạch tương tự","Analog Integrated Circuit Design","4","3","1","CNTC","","True","KTMT","Môn học này bao gồm những nội dung sau
▪ Trình bày những kiến thức cơ bản về thiết kế vi mạch tương tự.
▪ Những cách thức/phương pháp để phân tích, thiết kế, mô phỏng và layout các thành phần hoặc các mạch tương tự ở mức CMOS.
▪ Các bài thực hành bám sát nội dung lý thuyết để giúp cho sinh viên hiểu rõ hơn lý thuyết và có cái nhìn thực tế về thiết kế vi mạch tương tự","","CE324","","CE124
CE213"
"164","CE335","Thiết kế dựa trên vi xử lý","Microprocessor-Based Design","4","3","1","CNTC","","True","KTMT","Nội dung môn học có thể chia làm 2 phần chính. (1) ôn lại các thành phần cơ bản của 1 hệ vi xử lý (vi mạch vi xử lý, vi mạch bộ nhớ, vi mạch I/O); sau đó mở rộng giới thiệu về nguyên lý hoạt động cùng với mạch giao tiếp của phím và nút nhấn, của các bộ cảm biến và chuyển đổi A/D D/A, các bộ điều khiển động cơ, các thiết bị thông tin liên lạc, các thiết bị hiển thị, máy in ; (2) qui trình thiết kế và biến đổi một giải thuật vận hành, điều khiển ứng với một thiết bị cụ thể thành chương trình chạy trên các hệ vi xử lý; tương quan về độ phức tạp thiết kế giữa phần cứng và phần mềm.","","CE325","","IT006
IT003
IT001"
"165","CE336","Tự động hóa thiết kế vi mạch","Electronic Design Automation","4","3","1","CNTC","","True","KTMT","Tự động hóa thiết kế vi mạch là môn học chuyên ngành trong hướng nghiên cứu vi mạch. Nó cung cấp các kiến thức nền tảng trong việc nghiên cứu chuyên sâu về thiết kế vi mạch","","CE326","","CE118
CE213"
"166","CE337","Tối ưu hóa dựa trên FPGA","FPGA-based Optimization","4","3","1","CNTC","","True","KTMT","Môn học này giới thiệu những ứng dụng dùng thiết bị có khả năng tái lập cấu hình. Chủ đề được chia thành ba phần chính: kiến trúc, phương pháp thiết kế và ứng dụng. Phần kiến trúc bao gồm những giới thiệu về thiết bị lập trình tái cấu hình, đặc biệt là thiết bị thương mại hóa cao Field Programmable Gate Arrays (FPGAs), và các hệ thống có khả năng tái cấu hình. Phần phương pháp thiết kế bao gồm cách thiết kế cho FPGAs với sự trợ giúp của máy tính, biên dịch từ ngôn ngữ lập trình, thiết kế mức hệ thống: chẳng hạn như phân hoạch, kết nối, và tái cầu hình từng phần. Trong phần cuối cùng, những ứng dụng chính yếu của kỹ thuật tái cấu hình được thảo luận, từ ứng dụng công nghệ tin sinh học, bảo mật mạng cho đến các vấn đề về xử lý tín hiệu số và xử lý ảnh","","CE327","","IT006
CE118
CE213"
"168","CE339","Công nghệ IoT và ứng dụng","IoT Technology and Applications","4","3","1","CN","","True","KTMT","","","","","CE103
CE224"
"169","CE340","Trí tuệ nhân tạo cho hệ thống nhúng","Artificial Intelligence for Embedded Systems","4","3","1","CN","","True","KTMT","","","","",""
